Product_Name,Category,Price,Rating,Review,Sales
TANCHJIM - RITA Premium ANC Over-Ear Headphones,Personal audio,8929,4.2,Great product,145
ROSESELSA - Cambrian Over Ear Wireless Headphones,Personal audio,5199,3,okayish product,210
Marshall - Emberton II Portable Wireless Speaker,Personal audio,"17,499",4.8,amazing sound quality,128
Kove - Commuter Portable Wireless Speaker (Unboxed),Personal audio,4999,4,wonderful,174
"TECPHILE – Memory Foam Mouse Pad with Wrist Rest, Non-Slip Base",handpicked gadgets,594,3.5,could be better,92
TECPHILE – Floral Ergonomic Honeycomb Mouse Pad With Wrist Support,handpicked gadgets,599,4.5,loved the product at such affordable price,110
TECPHILE - Smart Side Table with Wireless Charging Station (Nightstand),Home and kitchen appliances,"10,499",2.8,Did not like it,85
"TECPHILE Smart Bedside Table with Wireless Charging, Fingerprint Lock, PIR Sensor",Home and kitchen appliances,"11,499",4.3,amazing ,160
VanTop - Moment 5M Action Camera,handpicked gadgets,9499,4.5,loved it,240
"TECPHILE 4-in-1 Smart Study Desk Lamp with Clock, Wireless Charging & Pen Holder",Home and kitchen appliances,"1,129",4,good,155
TECPHILE 5-in-1 Study Desk Lamp with Bluetooth Speaker & Wireless Charging,Home and kitchen appliances,"1,129",3.9,okay okay,134
EQUINFIT - Carbon Seat Post,cycling,"3,999",4.3,Great product,190
EQUINFIT - 12mm Carbon Front Thru Axle,cycling,"3,499",4,good,76
Anime Action Figures Naruto Chibi Figurines Set of 6 - 11.5cm Approx.,anime action figures,490,4.1,liked it,205
Anime Action Figure Attack on Titan AOT 6pcs Anime Figurine,anime action figures,749,4.7,wow product,167
Demon Slayer Anime Action Figures Set of 10 Hashira,anime action figures,"1,599",3.7,it was fine,69
Gibson - Vintage Reissue Electric Guitar Strings,smart home gadgets,"1,699",2,very bad,117
Gibson - Coated Phosphor Bronze Acoustic Guitar Strings,smart home gadgets,"1,799",4.6,loved it so much,142
TECPHILE - Astronaut Galaxy Projector with Remote Control,smart home gadgets,899,4,nice,88
TECPHILE - NX SK27 RGB Smart Star Light Led Bulb,smart home gadgets,"1,290",3.9,fine,101
TECPHILE - Mini Smart WiFi LED RGBW IR Strip Controller,smart home gadgets,590,4.1, liked it a lot,58
TECPHILE PIR Motion Sensor Switch –7M Range Auto Light Control & Security,smart home gadgets,590,4,it was good,73
TECPHILE – Vacuum Compression Storage Bags Waterproof for Travel & Home,handpicked gadgets,649,4.7,amazing,64
GOODYEAR Eagle - F1 28mm Tube Tyer,cycling,"5,490",3.6,nice,97
